Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A2,VIK logo,VIK_Logo_Small,116.2,-71.799999,0.0,bottom
C1,100n,C_0402_1005Metric,116.584238,-50.098813,22.5,bottom
C2,100n,C_0402_1005Metric,123.72803,-62.654558,67.5,bottom
C3,100n,C_0402_1005Metric,119.901197,-76.584228,112.5,bottom
C4,100n,C_0402_1005Metric,107.345447,-83.728023,157.5,bottom
C5,100n,C_0402_1005Metric,93.415769,-79.901192,202.5,bottom
C6,100n,C_0402_1005Metric,86.271978,-67.345443,247.5,bottom
C7,100n,C_0402_1005Metric,90.098811,-53.415767,292.5,bottom
C8,100n,C_0402_1005Metric,102.654561,-46.271977,337.5,bottom
C9,4u7,C_0402_1005Metric,113.0,-62.399998,90.0,bottom
C10,100n,C_0402_1005Metric,112.000001,-62.399998,270.0,bottom
C11,4u7,C_0402_1005Metric,113.100001,-53.2,180.0,bottom
C12,4u7,C_0402_1005Metric,113.2,-58.399999,0.0,bottom
D1,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,112.278917,-47.538679,202.5,bottom
D2,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,122.480463,-57.767285,247.5,bottom
D3,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,122.461327,-72.278912,292.5,bottom
D4,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,112.232722,-82.480455,337.5,bottom
D5,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,97.721096,-82.461322,22.5,bottom
D6,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,87.519547,-72.232719,67.5,bottom
D7,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,87.53868,-57.72109,112.5,bottom
D8,SK6812MINI-E,LED_OPSCO_SK6812MINI-E,97.767285,-47.519545,157.5,bottom
J1,VIK Module,VIK_Module_Horizontal,105.0,-40.4,180.0,bottom
J2,VIK Cirque Connector,VIK_Cirque_Horizontal,104.99999,-52.0,0.0,bottom
J3,RGB_EX,PinHeader_RGB,95.499999,-57.4,0.0,top
R1,10k,R_0402_1005Metric,112.0,-68.199999,90.0,bottom
R2,39,R_0402_1005Metric,111.3,-55.7,270.0,bottom
R3,10k,R_0402_1005Metric,111.4,-51.4,90.0,bottom
R10,4k7,R_0402_1005Metric,111.2,-41.9,90.0,bottom
R11,4k7,R_0402_1005Metric,112.3,-41.9,90.0,bottom
U1,PMW3360DM-T2QU_1,PixArt_PMW3360DM-T2QU,105.016,-65.476321,0.0,bottom
U2, XC6206P202MR,SOT-23-3,113.6,-55.799998,270.0,bottom
